School,Grad Rate,Retain Rate,Accept Rate,ENROLLMENT,INSTITUTIONALAID,DEFAULT,Ratio
Harvard University, 0.98 , 0.98 , 0.06 , 0.04 , 0.44 , N/A ,7
Yale University, 0.97 , 0.99 , 0.07 , 0.05 , 0.52 , N/A ,6
University of Pennsylvania, 0.95 , 0.98 , 0.10 , 0.07 , 0.54 , N/A ,6
Johns Hopkins University, 0.94 , 0.97 , 0.14 , 0.05 , 0.51 , N/A ,10
Cornell University, 0.93 , 0.97 , 0.15 , 0.08 , 0.55 , N/A ,9
Tufts University, 0.93 , 0.97 , 0.16 , 0.07 , 0.43 , N/A ,9
University of California-Berkeley, 0.92 , 0.96 , 0.17 , 0.07 , 0.61 , N/A ,17
University of California-Los Angeles, 0.91 , 0.96 , 0.17 , 0.06 , 0.61 , N/A ,16
Georgetown University, 0.94 , 0.96 , 0.17 , 0.08 , 0.42 , N/A ,11
Washington University in St Louis, 0.93 , 0.96 , 0.17 , 0.06 , 0.49 , N/A ,8
University of Notre Dame, 0.97 , 0.98 , 0.20 , 0.11 , 0.63 , N/A ,10
Liberty University, 0.47 , 0.75 , 0.22 , 0.10 , 0.84 , N/A ,18
Emory University, 0.89 , 0.94 , 0.24 , 0.07 , 0.54 , N/A ,8
New Mexico Institute of Mining and Technology, 0.49 , 0.75 , 0.24 , 0.21 , 0.73 , 0.06 ,12
Piedmont International University, 0.41 , 0.74 , 0.24 , 0.19 , 0.68 , N/A ,7
Carnegie Mellon University, 0.88 , 0.98 , 0.24 , 0.08 , 0.54 , N/A ,10
California Institute of the Arts, 0.56 , 0.87 , 0.25 , 0.09 , 0.55 , 0.08 ,7
Maine College of Health Professions, 1.00 , 1.00 , 0.25 , 0.25 , 0.59 , N/A ,5
Babson College, 0.89 , 0.96 , 0.26 , 0.07 , 0.48 , N/A ,14
University of Michigan-Ann Arbor, 0.90 , 0.97 , 0.26 , 0.12 , 0.51 , N/A ,12
Northeastern University, 0.84 , 0.97 , 0.28 , 0.06 , 0.65 , N/A ,14
Southwestern Assemblies of God University, 0.41 , 0.74 , 0.28 , 0.20 , 0.87 , N/A ,14
Berklee College of Music, 0.56 , 0.87 , 0.29 , 0.12 , 0.53 , 0.12 ,11
Boston College, 0.92 , 0.95 , 0.29 , 0.07 , 0.45 , 0.02 ,14
Wake Forest University, 0.88 , 0.93 , 0.29 , 0.10 , 0.50 , N/A ,10
Tulane University of Louisiana, 0.83 , 0.92 , 0.30 , 0.07 , 0.70 , N/A ,9
Lehigh University, 0.88 , 0.95 , 0.30 , 0.10 , 0.51 , N/A ,10
University of Virginia-Main Campus, 0.93 , 0.97 , 0.30 , 0.12 , 0.40 , N/A ,15
California Polytechnic State University-San Luis Obispo, 0.76 , 0.93 , 0.31 , 0.11 , 0.55 , 0.03 ,22
University of North Carolina at Chapel Hill, 0.90 , 0.97 , 0.31 , 0.13 , 0.53 , N/A ,14
Corban University, 0.59 , 0.80 , 0.31 , 0.09 , 0.94 , N/A ,15
University of Richmond, 0.88 , 0.93 , 0.31 , 0.08 , 0.69 , N/A ,8
Georgia Institute of Technology-Main Campus, 0.85 , 0.97 , 0.32 , 0.11 , 0.63 , N/A ,19
CUNY Bernard M Baruch College, 0.70 , 0.91 , 0.32 , 0.07 , 0.56 , 0.05 ,17
New York University, 0.84 , 0.93 , 0.32 , 0.10 , 0.57 , N/A ,10
University of California-Santa Barbara, 0.81 , 0.93 , 0.33 , 0.06 , 0.66 , N/A ,17
Boston University, 0.85 , 0.93 , 0.33 , 0.07 , 0.49 , N/A ,12
California State University-Long Beach, 0.67 , 0.89 , 0.34 , 0.08 , 0.72 , 0.05 ,24
Hope International University, 0.42 , 0.91 , 0.34 , 0.12 , 0.82 , N/A ,14
San Diego State University, 0.68 , 0.89 , 0.34 , 0.09 , 0.59 , N/A ,28
Brandeis University, 0.86 , 0.92 , 0.34 , 0.08 , 0.58 , N/A ,10
Nebraska Methodist College of Nursing & Allied Health, 0.73 , 0.81 , 0.34 , 0.19 , 0.72 , N/A ,12
University of Rochester, 0.88 , 0.96 , 0.34 , 0.08 , 0.78 , N/A ,10
Columbia International University, 0.62 , 0.73 , 0.34 , 0.17 , 0.91 , N/A ,14
College of William and Mary, 0.90 , 0.95 , 0.34 , 0.10 , 0.44 , N/A ,12
American University, 0.81 , 0.88 , 0.35 , 0.11 , 0.63 , 0.04 ,12
Emmaus Bible College, 0.75 , 0.83 , 0.35 , 0.14 , 0.95 , N/A ,9
Skidmore College, 0.86 , 0.94 , 0.36 , 0.08 , 0.48 , N/A ,8
Laguna College of Art and Design, 0.66 , 0.84 , 0.37 , 0.21 , 1.00 , 0.06 ,12
Maharishi University of Management, 0.46 , 0.90 , 0.37 , 0.25 , 0.68 , N/A ,11
CUNY Brooklyn College, 0.54 , 0.82 , 0.37 , 0.07 , 0.60 , 0.07 ,15
University of California-Davis, 0.85 , 0.93 , 0.38 , 0.08 , 0.72 , N/A ,18
Colorado School of Mines, 0.77 , 0.94 , 0.38 , 0.09 , 0.68 , 0.03 ,16
University of Miami, 0.82 , 0.92 , 0.38 , 0.06 , 0.70 , N/A ,12
California State Polytechnic University-Pomona, 0.63 , 0.89 , 0.39 , 0.08 , 0.67 , 0.05 ,27
University of California-Irvine, 0.88 , 0.93 , 0.39 , 0.08 , 0.73 , N/A ,19
Andrews University, 0.54 , 0.80 , 0.39 , 0.12 , 0.84 , 0.07 ,9
CUNY Hunter College, 0.54 , 0.83 , 0.39 , 0.08 , 0.56 , 0.05 ,11
The University of Texas at Austin, 0.80 , 0.95 , 0.39 , 0.18 , 0.45 , N/A ,18
Park University, 0.43 , 0.59 , 0.40 , 0.11 , 0.37 , 0.10 ,17
CUNY Queens College, 0.58 , 0.85 , 0.40 , 0.08 , 0.53 , 0.05 ,14
Western Carolina University, 0.57 , 0.80 , 0.40 , 0.09 , 0.65 , N/A ,16
University of Memphis, 0.45 , 0.77 , 0.40 , 0.13 , 0.76 , N/A ,14
Spring Hill College, 0.53 , 0.81 , 0.41 , 0.06 , 0.99 , 0.08 ,14
Fashion Institute of Technology, 0.75 , 0.90 , 0.41 , 0.27 , 0.41 , 0.07 ,17
Stony Brook University, 0.68 , 0.90 , 0.41 , 0.08 , 0.57 , N/A ,17
SUNY at Purchase College, 0.58 , 0.81 , 0.41 , 0.10 , 0.59 , 0.07 ,15
California State University-Fullerton, 0.62 , 0.88 , 0.42 , 0.11 , 0.65 , 0.06 ,25
The University of West Florida, 0.47 , 0.72 , 0.42 , 0.19 , 0.63 , N/A ,22
New York School of Interior Design, 0.50 , 0.80 , 0.42 , 0.08 , 0.29 , N/A ,10
SUNY at Binghamton, 0.81 , 0.91 , 0.42 , 0.09 , 0.51 , N/A ,20
State University of New York at New Paltz, 0.73 , 0.89 , 0.42 , 0.07 , 0.53 , N/A ,15
Dallas Baptist University, 0.58 , 0.72 , 0.42 , 0.17 , 0.86 , 0.08 ,13
Texas Christian University, 0.76 , 0.90 , 0.43 , 0.11 , 0.66 , N/A ,13
Stevens Institute of Technology, 0.82 , 0.94 , 0.44 , 0.10 , 0.92 , N/A ,10
King University, 0.45 , 0.73 , 0.44 , 0.17 , 0.71 , 0.08 ,16
Florida Southern College, 0.57 , 0.80 , 0.45 , 0.11 , 0.93 , 0.10 ,13
University of South Florida-Main Campus, 0.68 , 0.88 , 0.45 , 0.14 , 0.72 , N/A ,24
Toccoa Falls College, 0.47 , 0.66 , 0.45 , 0.20 , 0.93 , N/A ,13
University of Maryland-College Park, 0.86 , 0.95 , 0.45 , 0.14 , 0.52 , N/A ,17
University of Minnesota-Twin Cities, 0.77 , 0.93 , 0.45 , 0.13 , 0.50 , N/A ,17
Marist College, 0.78 , 0.91 , 0.45 , 0.13 , 0.75 , N/A ,16
Monroe College, 0.53 , 0.78 , 0.45 , 0.28 , 0.92 , 0.10 ,18
Wilson College, 0.39 , 0.73 , 0.45 , 0.10 , 0.71 , N/A ,10
LeTourneau University, 0.57 , 0.69 , 0.45 , 0.14 , 0.66 , N/A ,12
George Washington University, 0.83 , 0.94 , 0.46 , 0.13 , 0.64 , N/A ,13
Southeastern University, 0.39 , 0.67 , 0.46 , 0.26 , 0.77 , 0.09 ,20
Midway University, 0.56 , 0.78 , 0.46 , 0.18 , 0.86 , N/A ,15
St Lawrence University, 0.87 , 0.89 , 0.46 , 0.12 , 0.93 , N/A ,11
Bryan College-Dayton, 0.57 , 0.65 , 0.46 , 0.24 , 0.60 , 0.07 ,14
Bristol University, 0.89 , 0.60 , 0.46 , 0.26 , 0.35 , 0.12 ,15
University of La Verne, 0.64 , 0.85 , 0.47 , 0.09 , 0.73 , N/A ,17
Pfeiffer University, 0.43 , 0.69 , 0.47 , 0.10 , 0.75 , 0.08 ,12
Texas A & M University-Commerce, 0.42 , 0.73 , 0.47 , 0.15 , 0.73 , N/A ,20
Chapman University, 0.79 , 0.90 , 0.48 , 0.10 , 0.79 , 0.04 ,14
University of Florida, 0.87 , 0.96 , 0.48 , 0.24 , 0.88 , N/A ,20
Graceland University-Lamoni, 0.52 , 0.62 , 0.48 , 0.13 , 0.82 , 0.09 ,16
Fordham University, 0.81 , 0.91 , 0.48 , 0.05 , 0.80 , 0.05 ,14
Syracuse University, 0.81 , 0.91 , 0.48 , 0.10 , 0.70 , N/A ,16
Muhlenberg College, 0.85 , 0.93 , 0.48 , 0.12 , 0.82 , N/A ,11
Villanova University, 0.90 , 0.96 , 0.48 , 0.10 , 0.50 , N/A ,12
Brigham Young University-Provo, 0.80 , 0.86 , 0.48 , 0.38 , 0.71 , 0.01 ,20
Fashion Institute of Design & Merchandising-Los Angeles, 0.70 , 0.92 , 0.49 , 0.33 , 0.39 , 0.10 ,20
Howard University, 0.61 , 0.89 , 0.49 , 0.11 , 0.78 , 0.10 ,11
University of Central Florida, 0.70 , 0.89 , 0.49 , 0.18 , 0.69 , N/A ,30
Augustana College, 0.76 , 0.86 , 0.49 , 0.10 , 0.97 , 0.05 ,12
North Park University, 0.52 , 0.75 , 0.49 , 0.09 , 0.89 , 0.08 ,11
University of Saint Mary, 0.41 , 0.75 , 0.49 , 0.14 , 0.63 , N/A ,8
Emerson College, 0.80 , 1.00 , 0.49 , 0.11 , 0.58 , N/A ,13
Worcester Polytechnic Institute, 0.85 , 0.96 , 0.49 , 0.11 , 0.92 , N/A ,13
William Jewell College, 0.62 , 0.82 , 0.49 , 0.17 , 0.94 , N/A ,10
Ohio State University-Main Campus, 0.83 , 0.94 , 0.49 , 0.17 , 0.65 , N/A ,19
Cumberland University, 0.45 , 0.70 , 0.49 , 0.29 , 0.87 , 0.11 ,16
University of California-Santa Cruz, 0.78 , 0.88 , 0.50 , 0.08 , 0.74 , N/A ,18
Florida International University, 0.58 , 0.88 , 0.50 , 0.20 , 0.69 , 0.10 ,25
Concordia University-Chicago, 0.50 , 0.62 , 0.50 , 0.07 , 0.89 , 0.04 ,15
Eastern Illinois University, 0.58 , 0.75 , 0.50 , 0.13 , 0.73 , 0.06 ,15
Mount Holyoke College, 0.85 , 0.90 , 0.50 , 0.14 , 0.80 , N/A ,10
Saint Elizabeth College of Nursing, 0.50 , 1.00 , 0.50 , 0.39 , 0.67 , 0.04 ,8
SUNY College at Plattsburgh, 0.65 , 0.83 , 0.50 , 0.12 , 0.72 , N/A ,16
North Carolina State University at Raleigh, 0.75 , 0.93 , 0.50 , 0.20 , 0.54 , N/A ,15
Abilene Christian University, 0.61 , 0.79 , 0.50 , 0.10 , 0.94 , 0.09 ,15
Loyola Marymount University, 0.79 , 0.91 , 0.51 , 0.10 , 0.78 , N/A ,11
Warner University, 0.40 , 0.72 , 0.51 , 0.36 , 0.99 , N/A ,17
University of St Francis, 0.65 , 0.76 , 0.51 , 0.13 , 0.86 , N/A ,11
Belhaven University, 0.47 , 0.67 , 0.51 , 0.09 , 0.93 , 0.06 ,11
Avila University, 0.55 , 0.74 , 0.51 , 0.10 , 0.78 , 0.09 ,10
SUNY College at Cortland, 0.73 , 0.78 , 0.51 , 0.11 , 0.61 , N/A ,16
SUNY College at Oswego, 0.66 , 0.80 , 0.51 , 0.14 , 0.76 , N/A ,17
Concordia University-Portland, 0.48 , 0.74 , 0.51 , 0.08 , 1.00 , N/A ,17
Pennsylvania State University-Main Campus, 0.86 , 0.93 , 0.51 , 0.14 , 0.68 , N/A ,16
Clemson University, 0.81 , 0.93 , 0.51 , 0.15 , 0.71 , N/A ,18
California State University-Fresno, 0.58 , 0.83 , 0.52 , 0.18 , 0.75 , 0.07 ,25
Simpson University, 0.49 , 0.74 , 0.52 , 0.14 , 0.94 , 0.06 ,9
The Baptist College of Florida, 0.51 , 0.76 , 0.52 , 0.29 , 0.97 , N/A ,11
Notre Dame of Maryland University, 0.54 , 0.79 , 0.52 , 0.11 , 0.59 , 0.08 ,12
Clarkson College, 0.71 , 0.71 , 0.52 , 0.39 , 0.60 , N/A ,13
SUNY College of Environmental Science and Forestry, 0.75 , 0.85 , 0.52 , 0.20 , 0.76 , N/A ,16
Eastern University, 0.61 , 0.74 , 0.52 , 0.13 , 0.88 , 0.08 ,10
University of Charleston, 0.47 , 0.66 , 0.52 , 0.16 , 0.89 , 0.12 ,14
University of Connecticut, 0.83 , 0.92 , 0.53 , 0.11 , 0.62 , N/A ,17
University of Georgia, 0.85 , 0.95 , 0.53 , 0.24 , 0.82 , N/A ,18
Illinois Institute of Technology, 0.73 , 0.87 , 0.53 , 0.11 , 0.89 , N/A ,13
Crown College, 0.56 , 0.68 , 0.53 , 0.15 , 0.80 , 0.06 ,18
Ramapo College of New Jersey, 0.74 , 0.86 , 0.53 , 0.13 , 0.43 , N/A ,17
SUNY College at Brockport, 0.69 , 0.82 , 0.53 , 0.12 , 0.61 , N/A ,16
Gardner-Webb University, 0.52 , 0.73 , 0.53 , 0.12 , 0.58 , 0.10 ,13
University of Washington-Seattle Campus, 0.84 , 0.94 , 0.53 , 0.18 , 0.43 , N/A ,20
Pennsylvania College of Health Sciences, 0.68 , 1.00 , 0.53 , 0.37 , 0.42 , N/A ,11
Grace College of Divinity, N/A , 0.83 , 0.53 , 0.50 , 0.24 , N/A ,6
The University of Alabama, 0.67 , 0.86 , 0.54 , 0.20 , 0.57 , N/A ,24
Jacksonville University, 0.41 , 0.68 , 0.54 , 0.12 , 0.68 , 0.10 ,14
The Sage Colleges, 0.60 , 0.78 , 0.54 , 0.11 , 0.90 , N/A ,12
SUNY College of Technology at Delhi, 0.43 , 0.75 , 0.54 , 0.16 , 0.65 , 0.13 ,16
The Christ College of Nursing and Health Sciences, 0.69 , 0.83 , 0.54 , 0.29 , 0.68 , N/A ,10
University of Pittsburgh-Pittsburgh Campus, 0.82 , 0.92 , 0.54 , 0.13 , 0.53 , N/A ,15
California State University-San Marcos, 0.51 , 0.81 , 0.54 , 0.16 , 0.69 , 0.05 ,24
San Jose State University, 0.57 , 0.86 , 0.55 , 0.11 , 0.64 , 0.05 ,27
Berry College, 0.64 , 0.83 , 0.55 , 0.13 , 0.99 , 0.04 ,12
Elmhurst College, 0.67 , 0.79 , 0.55 , 0.13 , 0.95 , 0.02 ,14
Oakland City University, 0.63 , 0.71 , 0.55 , 0.10 , 0.24 , 0.10 ,12
Lawrence Technological University, 0.56 , 0.81 , 0.55 , 0.16 , 0.51 , 0.07 ,12
Concordia University-Saint Paul, 0.46 , 0.70 , 0.55 , 0.15 , 0.66 , 0.06 ,16
Chatham University, 0.56 , 0.76 , 0.55 , 0.14 , 0.64 , 0.03 ,10
Anderson University, 0.49 , 0.73 , 0.55 , 0.20 , 0.87 , 0.09 ,16
Averett University-Non-Traditional Programs, 1.00 , N/A , 0.55 , 0.17 , 0.34 , 0.11 ,7
University of California-Riverside, 0.73 , 0.91 , 0.56 , 0.11 , 0.84 , N/A ,19
Florida State University, 0.79 , 0.93 , 0.56 , 0.20 , 0.81 , N/A ,25
Northwest Nazarene University, 0.49 , 0.77 , 0.56 , 0.17 , 0.80 , N/A ,15
Greenville College, 0.57 , 0.82 , 0.56 , 0.14 , 0.91 , N/A ,13
Marian University, 0.56 , 0.80 , 0.56 , 0.15 , 0.66 , 0.06 ,13
Morningside College, 0.55 , 0.74 , 0.56 , 0.08 , 0.96 , N/A ,13
Webster University, 0.62 , 0.78 , 0.56 , 0.21 , 0.79 , N/A ,13
SUNY at Albany, 0.68 , 0.82 , 0.56 , 0.12 , 0.60 , N/A ,18
Temple University, 0.71 , 0.90 , 0.56 , 0.17 , 0.72 , N/A ,14
University of Florida-Online, N/A , 0.88 , 0.56 , 0.51 , 0.55 , N/A ,35
University of North Florida, 0.55 , 0.80 , 0.57 , 0.14 , 0.61 , 0.08 ,18
University of West Georgia, 0.39 , 0.72 , 0.57 , 0.31 , 0.73 , 0.09 ,20
Asbury University, 0.63 , 0.81 , 0.57 , 0.19 , 0.77 , 0.06 ,11
University of Massachusetts-Lowell, 0.56 , 0.86 , 0.57 , 0.15 , 0.55 , N/A ,17
William Carey University, 0.54 , 0.81 , 0.57 , 0.23 , 0.85 , N/A ,13
Rivier University, 0.43 , 0.77 , 0.57 , 0.11 , 0.60 , N/A ,18
Rochester Institute of Technology, 0.68 , 0.89 , 0.57 , 0.16 , 0.82 , N/A ,13
SUNY College of Technology at Alfred, 0.50 , 0.88 , 0.57 , 0.22 , 0.80 , N/A ,18
Elon University, 0.83 , 0.90 , 0.57 , 0.15 , 0.54 , 0.02 ,12
Minot State University, 0.43 , 0.75 , 0.57 , 0.41 , 0.59 , N/A ,12
Oregon Institute of Technology, 0.46 , 0.78 , 0.57 , 0.23 , 0.47 , N/A ,19
