School,Grad Rate,Retain Rate,Accept Rate,ENROLLMENT,INSTITUTIONALAID,DEFAULT,Ratio
Virginia Polytechnic Institute and State University, 0.83 , 0.94 , 0.73 , 0.28 , 0.52 , N/A ,14
Gonzaga University, 0.83 , 0.95 , 0.73 , 0.20 , 0.96 , N/A ,12
John Brown University, 0.62 , 0.81 , 0.74 , 0.31 , 0.74 , N/A ,15
Quinnipiac University, 0.76 , 0.87 , 0.74 , 0.08 , 0.83 , N/A ,12
Wartburg College, 0.70 , 0.80 , 0.74 , 0.17 , 0.94 , N/A ,11
Massachusetts Maritime Academy, 0.72 , 0.93 , 0.74 , 0.47 , 0.52 , 0.05 ,16
Calvin College, 0.74 , 0.86 , 0.74 , 0.25 , 0.95 , 0.03 ,13
Rockhurst University, 0.71 , 0.85 , 0.74 , 0.12 , 0.68 , 0.06 ,12
Plymouth State University, 0.58 , 0.76 , 0.74 , 0.20 , 0.61 , 0.05 ,17
Monmouth University, 0.67 , 0.83 , 0.74 , 0.14 , 0.96 , 0.06 ,14
Cedarville University, 0.72 , 0.86 , 0.74 , 0.26 , 0.88 , 0.02 ,13
Muskingum University, 0.52 , 0.74 , 0.74 , 0.18 , 0.83 , 0.06 ,14
Ohio University-Main Campus, 0.67 , 0.79 , 0.74 , 0.21 , 0.53 , N/A ,18
University of Oregon, 0.71 , 0.88 , 0.74 , 0.19 , 0.60 , N/A ,19
Alvernia University, 0.51 , 0.76 , 0.74 , 0.24 , 0.87 , 0.08 ,12
Saint Francis University, 0.72 , 0.87 , 0.74 , 0.22 , 0.84 , N/A ,14
University of South Dakota, 0.52 , 0.77 , 0.74 , 0.31 , 0.54 , N/A ,17
Marquette University, 0.80 , 0.90 , 0.74 , 0.09 , 0.96 , 0.03 ,15
Michigan Technological University, 0.65 , 0.87 , 0.75 , 0.24 , 0.86 , 0.05 ,12
Otterbein University, 0.61 , 0.81 , 0.75 , 0.20 , 0.81 , 0.06 ,10
Oklahoma State University-Main Campus, 0.61 , 0.81 , 0.75 , 0.33 , 0.76 , 0.07 ,20
Drexel University, 0.68 , 0.84 , 0.75 , 0.09 , 0.80 , N/A ,10
La Salle University, 0.63 , 0.78 , 0.75 , 0.13 , 0.85 , 0.04 ,12
Moravian College, 0.69 , 0.80 , 0.75 , 0.19 , 0.91 , 0.04 ,12
University of Arizona, 0.61 , 0.80 , 0.76 , 0.23 , 0.69 , 0.07 ,22
Georgia College and State University, 0.60 , 0.86 , 0.76 , 0.37 , 0.79 , 0.05 ,17
Assumption College, 0.73 , 0.83 , 0.76 , 0.12 , 0.92 , 0.04 ,12
University of Nebraska-Lincoln, 0.67 , 0.83 , 0.76 , 0.48 , 0.52 , N/A ,21
Seton Hall University, 0.63 , 0.84 , 0.76 , 0.10 , 0.86 , N/A ,13
Nazareth College, 0.73 , 0.84 , 0.76 , 0.14 , 0.97 , 0.04 ,9
The University of Findlay, 0.56 , 0.78 , 0.76 , 0.23 , 0.92 , N/A ,16
Duquesne University, 0.74 , 0.85 , 0.76 , 0.20 , 0.92 , 0.03 ,13
Gannon University, 0.65 , 0.84 , 0.76 , 0.15 , 0.79 , 0.06 ,12
Susquehanna University, 0.71 , 0.89 , 0.76 , 0.13 , 0.98 , N/A ,12
The University of Tennessee-Knoxville, 0.70 , 0.85 , 0.76 , 0.28 , 0.75 , 0.07 ,17
Saint Michael's College, 0.76 , 0.87 , 0.76 , 0.10 , 0.98 , N/A ,11
Pacific Lutheran University, 0.68 , 0.83 , 0.76 , 0.18 , 0.96 , 0.03 ,11
Northern Arizona University, 0.52 , 0.74 , 0.77 , 0.17 , 0.64 , 0.09 ,18
University of Illinois at Chicago, 0.60 , 0.81 , 0.77 , 0.22 , 0.65 , N/A ,18
Olivet Nazarene University, 0.61 , 0.77 , 0.77 , 0.18 , 0.89 , N/A ,14
Grace College and Theological Seminary, 0.60 , 0.80 , 0.77 , 0.09 , 0.71 , 0.04 ,23
Louisiana State University and Agricultural & Mechanical College, 0.67 , 0.85 , 0.77 , 0.32 , 0.72 , 0.05 ,23
Goucher College, 0.69 , 0.82 , 0.77 , 0.11 , 0.90 , 0.03 ,11
Bay Path University, 0.57 , 0.80 , 0.77 , 0.16 , 0.76 , 0.09 ,12
Siena Heights University, 0.37 , 0.72 , 0.77 , 0.17 , 0.71 , 0.06 ,12
Ashland University, 0.58 , 0.75 , 0.77 , 0.19 , 0.59 , 0.05 ,14
George Fox University, 0.70 , 0.81 , 0.77 , 0.21 , 0.90 , 0.03 ,14
Juniata College, 0.73 , 0.86 , 0.77 , 0.14 , 0.92 , 0.02 ,13
Citadel Military College of South Carolina, 0.67 , 0.86 , 0.77 , 0.25 , 0.62 , 0.05 ,13
John A Gupton College, 0.50 , 0.83 , 0.77 , 0.59 , 0.63 , 0.13 ,15
Edgewood College, 0.60 , 0.81 , 0.77 , 0.26 , 0.85 , 0.04 ,10
Auburn University, 0.73 , 0.90 , 0.78 , 0.25 , 0.53 , 0.06 ,19
Indiana University-Bloomington, 0.77 , 0.89 , 0.78 , 0.23 , 0.59 , 0.05 ,17
Saint Joseph's College of Maine, 0.58 , 0.86 , 0.78 , 0.20 , 0.56 , N/A ,12
Concordia College at Moorhead, 0.73 , 0.82 , 0.78 , 0.23 , 0.96 , 0.02 ,11
Martin Luther College, 0.73 , 0.83 , 0.78 , 0.66 , 0.94 , N/A ,12
Saint Mary's University of Minnesota, 0.61 , 0.80 , 0.78 , 0.19 , 0.69 , N/A ,18
University of Missouri-Columbia, 0.69 , 0.87 , 0.78 , 0.28 , 0.60 , N/A ,20
Concordia University-Nebraska, 0.59 , 0.76 , 0.78 , 0.25 , 0.73 , 0.04 ,14
University of Oklahoma-Norman Campus, 0.66 , 0.86 , 0.78 , 0.35 , 0.62 , N/A ,18
Oregon State University, 0.64 , 0.85 , 0.78 , 0.26 , 0.54 , N/A ,18
DeSales University, 0.70 , 0.78 , 0.78 , 0.16 , 0.79 , 0.04 ,13
Robert Morris University, 0.58 , 0.85 , 0.78 , 0.13 , 0.80 , N/A ,15
Roger Williams University, 0.64 , 0.81 , 0.78 , 0.11 , 0.84 , N/A ,14
University of St Thomas, 0.58 , 0.83 , 0.78 , 0.28 , 0.78 , N/A ,9
Saint Norbert College, 0.73 , 0.82 , 0.78 , 0.16 , 0.94 , 0.03 ,13
Catholic University of America, 0.69 , 0.86 , 0.79 , 0.15 , 0.83 , 0.02 ,7
Merrimack College, 0.71 , 0.83 , 0.79 , 0.11 , 0.89 , 0.04 ,13
University of Mississippi, 0.61 , 0.87 , 0.79 , 0.22 , 0.68 , 0.08 ,18
Truman State University, 0.73 , 0.89 , 0.79 , 0.32 , 0.80 , N/A ,16
University of New Hampshire-Main Campus, 0.79 , 0.85 , 0.79 , 0.17 , 0.58 , N/A ,19
Franciscan University of Steubenville, 0.79 , 0.86 , 0.79 , 0.26 , 0.89 , N/A ,14
Pacific University, 0.71 , 0.77 , 0.79 , 0.16 , 0.93 , 0.03 ,11
Immaculata University, 0.70 , 0.83 , 0.79 , 0.12 , 0.59 , 0.06 ,9
Messiah College, 0.77 , 0.88 , 0.79 , 0.28 , 0.97 , N/A ,12
Longwood University, 0.66 , 0.80 , 0.79 , 0.22 , 0.48 , 0.05 ,16
Virginia Commonwealth University, 0.62 , 0.86 , 0.79 , 0.27 , 0.55 , N/A ,17
University of Colorado Boulder, 0.71 , 0.86 , 0.80 , 0.20 , 0.43 , 0.04 ,18
Saint Mary's College, 0.79 , 0.90 , 0.80 , 0.24 , 0.94 , N/A ,10
University of Northern Iowa, 0.68 , 0.80 , 0.80 , 0.36 , 0.55 , N/A ,17
McDaniel College, 0.70 , 0.75 , 0.80 , 0.15 , 0.98 , 0.04 ,11
Westfield State University, 0.63 , 0.79 , 0.80 , 0.25 , 0.56 , N/A ,17
Yeshiva University, 0.88 , 0.94 , 0.80 , 0.50 , 0.82 , N/A ,7
Walsh University, 0.60 , 0.78 , 0.80 , 0.30 , 0.85 , N/A ,13
Belmont University, 0.69 , 0.83 , 0.80 , 0.23 , 0.65 , 0.03 ,14
Washington State University, 0.64 , 0.78 , 0.80 , 0.24 , 0.61 , N/A ,15
University of Wisconsin-Whitewater, 0.60 , 0.81 , 0.80 , 0.36 , 0.43 , N/A ,22
University of Wisconsin-La Crosse, 0.68 , 0.85 , 0.80 , 0.34 , 0.43 , N/A ,18
Azusa Pacific University, 0.68 , 0.88 , 0.81 , 0.20 , 0.92 , 0.04 ,11
Colorado State University-Fort Collins, 0.67 , 0.87 , 0.81 , 0.26 , 0.50 , 0.04 ,18
University of Iowa, 0.72 , 0.85 , 0.81 , 0.20 , 0.58 , N/A ,15
Grace Bible College, 0.60 , 0.56 , 0.81 , 0.44 , 0.83 , 0.03 ,13
Grand Valley State University, 0.67 , 0.84 , 0.81 , 0.24 , 0.65 , 0.04 ,17
Carlow University, 0.50 , 0.77 , 0.81 , 0.24 , 0.87 , 0.05 ,11
Dakota State University, 0.38 , 0.74 , 0.81 , 0.38 , 0.39 , 0.09 ,18
University of Utah, 0.64 , 0.89 , 0.81 , 0.28 , 0.51 , N/A ,16
Chaminade University of Honolulu, 0.47 , 0.74 , 0.82 , 0.28 , 0.81 , 0.09 ,11
Valparaiso University, 0.67 , 0.82 , 0.82 , 0.11 , 0.91 , N/A ,13
Baker University, 0.60 , 0.77 , 0.82 , 0.21 , 0.73 , 0.06 ,12
University of North Dakota, 0.54 , 0.81 , 0.82 , 0.39 , 0.51 , N/A ,21
John Carroll University, 0.73 , 0.85 , 0.82 , 0.19 , 0.97 , 0.04 ,13
Mount Carmel College of Nursing, 0.72 , 0.85 , 0.82 , 0.54 , 0.50 , N/A ,13
Saint Joseph's University, 0.79 , 0.90 , 0.82 , 0.14 , 0.90 , N/A ,13
Wilkes University, 0.59 , 0.77 , 0.82 , 0.18 , 0.84 , N/A ,15
Bob Jones University, 0.62 , 0.80 , 0.82 , 0.55 , 0.71 , 0.02 ,12
Shenandoah University, 0.55 , 0.77 , 0.82 , 0.22 , 0.59 , 0.07 ,10
Central Washington University, 0.52 , 0.79 , 0.82 , 0.34 , 0.56 , 0.07 ,20
Seattle Pacific University, 0.71 , 0.87 , 0.82 , 0.13 , 0.93 , 0.03 ,15
Western Washington University, 0.71 , 0.82 , 0.82 , 0.28 , 0.48 , N/A ,18
Utica College, 0.42 , 0.70 , 0.83 , 0.13 , 0.76 , 0.08 ,11
University of Mary Washington, 0.70 , 0.82 , 0.83 , 0.18 , 0.41 , 0.02 ,14
Old Dominion University, 0.53 , 0.82 , 0.83 , 0.31 , 0.55 , N/A ,19
Huntington University, 0.66 , 0.79 , 0.84 , 0.22 , 0.85 , 0.04 ,10
University of St Thomas, 0.76 , 0.89 , 0.84 , 0.26 , 0.91 , N/A ,14
Linfield College-McMinnville Campus, 0.63 , 0.86 , 0.84 , 0.20 , 0.96 , 0.03 ,11
Regent University, 0.49 , 0.80 , 0.84 , 0.25 , 0.84 , N/A ,28
Taylor University, 0.77 , 0.87 , 0.85 , 0.30 , 0.84 , N/A ,12
University of New England, 0.65 , 0.75 , 0.85 , 0.14 , 0.80 , N/A ,13
University of Nebraska at Kearney, 0.56 , 0.80 , 0.85 , 0.37 , 0.71 , N/A ,14
Niagara University, 0.63 , 0.88 , 0.85 , 0.22 , 0.85 , 0.08 ,13
Kent State University at Kent, 0.56 , 0.81 , 0.85 , 0.27 , 0.68 , 0.12 ,21
California University of Pennsylvania, 0.50 , 0.77 , 0.85 , 0.26 , 0.62 , 0.08 ,21
University of Wisconsin-Eau Claire, 0.65 , 0.80 , 0.85 , 0.39 , 0.46 , N/A ,21
University of Wisconsin-Green Bay, 0.46 , 0.75 , 0.85 , 0.37 , 0.47 , N/A ,23
Fort Hays State University, 0.43 , 0.70 , 0.86 , 0.41 , 0.44 , 0.07 ,16
Bryan College of Health Sciences, 0.79 , 0.86 , 0.86 , 0.67 , 0.56 , 0.03 ,9
Valley City State University, 0.41 , 0.71 , 0.86 , 0.52 , 0.56 , N/A ,11
University of Cincinnati-Main Campus, 0.62 , 0.88 , 0.86 , 0.29 , 0.58 , N/A ,18
Texas Woman's University, 0.41 , 0.76 , 0.86 , 0.24 , 0.67 , 0.08 ,18
West Virginia University, 0.57 , 0.79 , 0.86 , 0.31 , 0.64 , 0.09 ,20
Iowa State University, 0.71 , 0.87 , 0.87 , 0.33 , 0.67 , 0.05 ,19
MCPHS University, 0.72 , 0.84 , 0.87 , 0.16 , 0.87 , N/A ,16
University of Northwestern-St Paul, 0.66 , 0.82 , 0.87 , 0.33 , 0.59 , N/A ,18
Canisius College, 0.70 , 0.83 , 0.87 , 0.14 , 0.92 , 0.06 ,11
Illinois State University, 0.73 , 0.82 , 0.88 , 0.30 , 0.50 , 0.04 ,18
Missouri University of Science and Technology, 0.65 , 0.87 , 0.88 , 0.41 , 0.77 , 0.05 ,19
University of Kentucky, 0.63 , 0.83 , 0.89 , 0.28 , 0.78 , 0.06 ,17
Columbia College, 0.50 , 0.76 , 0.89 , 0.36 , 0.81 , 0.09 ,13
Loyola University New Orleans, 0.66 , 0.77 , 0.90 , 0.19 , 0.92 , 0.05 ,12
Southern New Hampshire University, 0.58 , 0.61 , 0.92 , 0.21 , 0.52 , 0.08 ,30
South Dakota State University, 0.54 , 0.76 , 0.92 , 0.44 , 0.58 , 0.05 ,17
Wisconsin Lutheran College, 0.62 , 0.75 , 0.92 , 0.38 , 0.89 , N/A ,12
Samford University, 0.74 , 0.89 , 0.93 , 0.26 , 0.88 , N/A ,12
Gordon College, 0.69 , 0.85 , 0.93 , 0.24 , 0.98 , 0.02 ,13
University of Wisconsin-Stout, 0.57 , 0.76 , 0.93 , 0.49 , 0.44 , N/A ,20
North Dakota State University-Main Campus, 0.54 , 0.78 , 0.94 , 0.48 , 0.56 , 0.03 ,18
University of Wisconsin-Platteville, 0.54 , 0.75 , 0.94 , 0.46 , 0.47 , N/A ,22
The Master's College and Seminary, 0.69 , 0.85 , 0.95 , 0.41 , 0.82 , N/A ,10
Indiana Wesleyan University-Marion, 0.60 , 0.82 , 0.95 , 0.45 , 0.57 , N/A ,15
Kansas State University, 0.62 , 0.83 , 0.95 , 0.39 , 0.57 , 0.06 ,19
Bethel University, 0.74 , 0.84 , 0.95 , 0.40 , 0.89 , 0.03 ,12
Houghton College, 0.73 , 0.84 , 0.95 , 0.35 , 0.97 , 0.04 ,12
University of Mary, 0.60 , 0.75 , 0.96 , 0.46 , 0.86 , N/A ,13
Clarion University of Pennsylvania, 0.49 , 0.73 , 0.96 , 0.43 , 0.62 , 0.08 ,18
Westminster College, 0.62 , 0.82 , 0.96 , 0.23 , 0.89 , N/A ,9
University of Wyoming, 0.55 , 0.77 , 0.96 , 0.36 , 0.71 , N/A ,14
Capitol Technology University, 0.35 , 0.87 , 0.97 , 0.23 , 0.71 , 0.07 ,12
Fontbonne University, 0.54 , 0.79 , 0.97 , 0.36 , 0.76 , 0.10 ,11
Utah State University, 0.49 , 0.71 , 0.97 , 0.29 , 0.56 , 0.06 ,22
Harding University, 0.64 , 0.85 , 0.99 , 0.66 , 0.87 , 0.05 ,16
Luther Rice University & Seminary, 1.00 , 1.00 , 1.00 , 1.00 , 0.65 , N/A ,23
Brigham Young University-Idaho, 0.61 , 0.68 , 1.00 , 0.47 , 0.60 , 0.03 ,25
Midwives College of Utah, N/A , 1.00 , 1.00 , 1.00 , 0.30 , N/A ,5
Alexandria Technical & Community College, 0.64 , 0.71 , N/A , N/A , 0.53 , 0.12 ,24
American Medical Academy, 0.75 , 0.83 , N/A , N/A , 0.18 , N/A ,6
American Sentinel University, N/A , 1.00 , N/A , N/A , 0.22 , N/A ,20
Apex School of Theology, 0.95 , 0.97 , N/A , N/A , 0.99 , 0.11 ,17
Baptist Health System School of Health Professions, 0.90 , N/A , N/A , N/A , 0.83 , 0.04 ,14
Bethesda University, 0.77 , 0.68 , N/A , N/A , 0.58 , 0.02 ,10
Clear Creek Baptist Bible College, 0.46 , 0.80 , N/A , N/A , 0.90 , N/A ,12
Colorado Christian University, 0.47 , 0.79 , N/A , N/A , 0.54 , 0.06 ,15
Columbia College, 0.62 , 0.81 , N/A , N/A , 0.63 , N/A ,10
Faith Evangelical College & Seminary, 0.80 , 0.67 , N/A , N/A , 0.76 , 0.07 ,15
Hobe Sound Bible College, 0.56 , 0.75 , N/A , N/A , 0.55 , 0.11 ,12
Holy Apostles College and Seminary, 0.60 , 1.00 , N/A , N/A , 0.22 , N/A ,6
International Baptist College and Seminary, 0.60 , 0.79 , N/A , N/A , 0.91 , 0.02 ,4
Keiser University-Ft Lauderdale, 0.68 , 0.89 , N/A , N/A , 0.93 , 0.18 ,12
Laurus College, 0.88 , 0.70 , N/A , N/A , 0.74 , 0.20 ,9
Mountain State College, 0.92 , 0.83 , N/A , N/A , 0.06 , 0.18 ,17
Nazarene Bible College, 0.40 , 1.00 , N/A , N/A , 0.49 , 0.13 ,9
North Central Kansas Technical College, 0.79 , 0.78 , N/A , N/A , 0.57 , 0.14 ,10
North Florida Community College, 0.52 , 0.70 , N/A , N/A , 0.60 , N/A ,17
Northwest Iowa Community College, 0.56 , 0.75 , N/A , N/A , 0.30 , 0.11 ,12
Pamlico Community College, 0.72 , 0.76 , N/A , N/A , 0.39 , N/A ,9
Provo College, 0.71 , 1.00 , N/A , N/A , 0.74 , 0.18 ,12
Sessions College for Professional Design, 0.60 , 0.90 , N/A , N/A , 0.53 , N/A ,15
Southeastern Baptist College, 0.80 , 0.40 , N/A , N/A , 0.21 , N/A ,6
Touro University Worldwide, N/A , 1.00 , N/A , N/A , 0.76 , 0.04 ,13
Unitek College, N/A , 1.00 , N/A , N/A , 0.20 , N/A ,16
University of Western States, 0.88 , N/A , N/A , N/A , 0.56 , N/A ,16
Virginia Baptist College, 1.00 , 0.25 , N/A , N/A , 0.38 , N/A ,5
West Virginia Junior College-Morgantown, 0.53 , 0.69 , N/A , N/A , 0.88 , N/A ,25
